Country (Men),Men.Very + Fairly loneley,Men.Very lonely,Men.Fairly lonely,Men.A little lonely,Men.Not at all lonely,Country (Women),Women.Very + Fairly lonely,Women.Very lonely,Women.Fairly lonely,Women.A little lonely,Women.Not at all lonely
Lesotho,62%,26%,36%,13%,25%, Philippines,56%,16%,40%,22%,20%
Philippines,59%,12%,47%,17%,22%, Lesotho,55%,27%,29%,14%,29%
Botswana,53%,22%,30%,24%,23%, Afghanistan,55%,17%,38%,34%,10%
Uganda,53%,18%,35%,27%,20%, Uganda,53%,19%,34%,23%,23%
Namibia,48%,22%,26%,26%,25%, The Gambia,50%,23%,27%,26%,23%
Madagascar,47%,11%,36%,19%,32%, Liberia,50%,17%,33%,17%,32%
Kenya,46%,6%,40%,25%,29%, Botswana,48%,14%,33%,26%,26%
Mauritania,45%,14%,31%,28%,26%, Kenya,48%,11%,36%,25%,27%
Afghanistan,44%,8%,36%,40%,16%, Namibia,47%,18%,29%,30%,22%
Pakistan,44%,10%,34%,28%,28%, Nepal,46%,7%,39%,22%,31%
Zimbabwe,43%,13%,30%,37%,20%, Niger,46%,12%,34%,16%,35%
The Gambia,43%,15%,28%,26%,30%, Madagascar,45%,12%,33%,21%,32%
Malawi,43%,20%,23%,29%,28%, Chad,44%,14%,30%,17%,37%
Comoros,43%,9%,34%,23%,34%, Zimbabwe,44%,12%,32%,34%,22%
Eswatini,42%,20%,22%,28%,30%, Sierra Leone,41%,22%,19%,23%,32%
Sierra Leone,41%,23%,18%,18%,36%, Malawi,41%,21%,20%,35%,24%
Senegal,41%,11%,30%,25%,34%, Senegal,40%,11%,29%,23%,36%
Niger,40%,11%,29%,16%,43%, Iraq,40%,22%,18%,19%,41%
Nepal,40%,8%,32%,31%,29%, Mauritania,40%,16%,24%,23%,35%
Liberia,39%,16%,24%,29%,31%, Bangladesh,40%,11%,29%,20%,38%
South Africa,38%,18%,20%,25%,37%, South Africa,39%,15%,24%,26%,33%
Kuwait,37%,9%,28%,22%,40%, Ghana,38%,15%,24%,29%,32%
Bangladesh,37%,11%,26%,19%,42%, Comoros,38%,11%,27%,24%,34%
Tanzania,37%,8%,29%,20%,43%, Pakistan,38%,9%,29%,32%,30%
Ghana,36%,9%,26%,31%,33%, Ethiopia,36%,15%,21%,17%,47%
Ethiopia,35%,10%,26%,23%,41%, Tanzania,35%,9%,27%,17%,46%
Chad,35%,12%,23%,23%,38%, Eswatini,35%,15%,20%,33%,32%
Algeria,34%,4%,30%,29%,35%, Algeria,35%,8%,27%,26%,39%
Iran,34%,10%,24%,20%,46%, Zambia,32%,11%,22%,35%,33%
Zambia,33%,9%,24%,31%,36%, Benin,32%,14%,18%,38%,29%
Chile,32%,9%,23%,28%,40%, Iran,32%,11%,21%,19%,48%
Togo,32%,12%,20%,35%,33%, Guinea,31%,11%,20%,25%,35%
Bolivia,31%,9%,22%,37%,30%, Montenegro,31%,3%,28%,25%,44%
Iraq,31%,15%,16%,22%,47%, Cambodia,30%,10%,20%,39%,31%
India,31%,12%,19%,28%,40%, Bolivia,29%,7%,22%,41%,27%
Benin,30%,12%,18%,41%,27%, Sri Lanka,29%,8%,21%,21%,50%
United Arab Emirates,30%,15%,15%,23%,47%, Jordan,29%,9%,20%,22%,48%
Montenegro,29%,5%,24%,20%,50%, Argentina,28%,8%,20%,26%,45%
Libya,29%,15%,14%,21%,51%, India,28%,16%,12%,27%,44%
Guatemala,29%,8%,21%,28%,44%, Albania,28%,6%,22%,24%,47%
Sri Lanka,28%,6%,22%,27%,45%, Tajikistan,28%,5%,23%,12%,59%
Republic of the Congo,27%,11%,16%,35%,36%, Chile,28%,9%,19%,27%,45%
Argentina,27%,10%,17%,28%,45%, Bulgaria,27%,6%,21%,20%,50%
Jamaica,27%,10%,17%,20%,51%, Serbia,27%,9%,19%,25%,47%
Myanmar,26%,6%,21%,34%,39%, Nigeria,27%,9%,18%,25%,48%
Nigeria,26%,10%,17%,23%,50%, Lebanon,26%,4%,23%,26%,47%
Mozambique,26%,15%,10%,37%,35%, Uruguay,26%,9%,18%,24%,49%
Kosovo,25%,4%,21%,24%,50%, Palestinian Territories,26%,6%,20%,20%,53%
Côte d'Ivoire,25%,10%,15%,30%,44%, Cyprus,26%,6%,19%,29%,46%
Peru,25%,7%,18%,35%,41%, Ecuador,26%,9%,17%,31%,41%
Tajikistan,25%,2%,22%,13%,62%, Colombia,25%,8%,17%,30%,44%
Tunisia,25%,6%,19%,31%,44%, United Arab Emirates,24%,11%,14%,21%,55%
Cambodia,25%,5%,19%,42%,33%, Togo,24%,7%,17%,41%,35%
Paraguay,24%,7%,17%,30%,45%, Peru,24%,6%,18%,36%,40%
Cameroon,24%,10%,14%,36%,40%, Republic of the Congo,24%,12%,11%,34%,34%
Guinea,24%,11%,13%,31%,41%, Egypt,24%,6%,18%,19%,56%
Saudi Arabia,24%,10%,14%,19%,57%, Libya,24%,9%,14%,18%,58%
Albania,23%,7%,17%,21%,55%, Côte d'Ivoire,23%,9%,14%,36%,41%
Gabon,23%,13%,10%,39%,36%, Mozambique,23%,15%,9%,39%,34%
Colombia,23%,7%,16%,32%,44%, Tunisia,23%,6%,17%,30%,47%
Jordan,23%,9%,14%,26%,51%, Paraguay,23%,6%,17%,28%,49%
Costa Rica,23%,5%,17%,24%,52%, Morocco,23%,15%,8%,38%,38%
Uruguay,23%,6%,16%,27%,50%, North Macedonia,23%,5%,17%,32%,44%
Venezuela,22%,7%,16%,30%,48%, Kosovo,23%,3%,20%,26%,51%
Honduras,22%,10%,12%,26%,51%, Romania,22%,10%,13%,30%,47%
El Salvador,22%,8%,14%,20%,57%, Azerbaijan,22%,13%,9%,30%,46%
Morocco,21%,13%,8%,36%,43%, Costa Rica,22%,8%,14%,27%,51%
Bulgaria,21%,4%,17%,19%,59%, Guatemala,22%,6%,16%,31%,48%
Palestinian Territories,20%,7%,14%,21%,59%, Democratic Republic of the Congo,21%,7%,14%,34%,45%
Serbia,20%,7%,14%,20%,59%, El Salvador,21%,7%,13%,27%,51%
Democratic Republic of the Congo,20%,7%,13%,35%,43%, Puerto Rico,21%,7%,14%,18%,61%
Ecuador,20%,5%,15%,26%,53%, Cameroon,21%,9%,12%,42%,37%
Egypt,20%,5%,15%,19%,61%, Laos,21%,13%,8%,42%,36%
France,20%,5%,15%,19%,61%, Venezuela,21%,5%,16%,28%,51%
Yemen,20%,4%,16%,30%,50%, Saudi Arabia,20%,5%,16%,17%,63%
Mali,20%,4%,16%,22%,58%, Nicaragua,20%,8%,12%,36%,43%
Croatia,19%,3%,16%,23%,57%, Mali,20%,5%,15%,25%,55%
Japan,19%,2%,17%,40%,40%, Panama,20%,5%,15%,27%,52%
Mexico,19%,4%,15%,24%,56%, Gabon,20%,11%,9%,40%,40%
Lebanon,19%,2%,17%,30%,51%, Moldova,20%,6%,14%,38%,42%
Panama,18%,5%,13%,27%,54%, Kuwait,20%,4%,16%,25%,54%
Laos,18%,9%,8%,44%,37%, Portugal,20%,9%,11%,27%,53%
Puerto Rico,17%,8%,9%,18%,65%, France,20%,5%,15%,26%,54%
Nicaragua,17%,3%,14%,29%,50%, Honduras,19%,8%,11%,32%,47%
Northern Cyprus,17%,11%,6%,32%,50%, Hungary,19%,5%,13%,18%,63%
North Macedonia,17%,2%,14%,33%,49%, United States,18%,6%,12%,27%,54%
Cyprus,17%,5%,12%,20%,63%, Yemen,18%,4%,14%,24%,56%
Hungary,17%,4%,13%,18%,66%, Dominican Republic,18%,6%,12%,35%,44%
Italy,17%,1%,15%,28%,55%, Northern Cyprus,17%,10%,8%,39%,43%
Moldova,16%,7%,9%,37%,45%, Italy,17%,5%,12%,26%,56%
Taiwan (Province of China),16%,2%,14%,29%,55%, Taiwan (Province of China),17%,1%,16%,31%,51%
Romania,16%,7%,9%,25%,58%, Mexico,17%,5%,12%,26%,57%
Switzerland,16%,3%,13%,19%,65%, South Korea,17%,2%,14%,39%,43%
Brazil,16%,9%,6%,33%,51%, Croatia,17%,4%,12%,30%,53%
Malaysia,16%,1%,15%,29%,54%, Jamaica,17%,8%,9%,21%,60%
Türkiye,15%,5%,10%,43%,41%, Canada,16%,6%,10%,30%,54%
Austria,15%,5%,10%,21%,64%, Myanmar,16%,3%,13%,39%,45%
South Korea,15%,4%,11%,42%,43%, Türkiye,16%,6%,10%,48%,36%
Mauritius,15%,7%,8%,21%,61%, Bosnia and Herzegovina,16%,4%,12%,26%,58%
Dominican Republic,15%,6%,9%,32%,49%, Japan,16%,1%,15%,38%,46%
Azerbaijan,14%,8%,7%,27%,57%, Singapore,15%,2%,12%,33%,53%
Portugal,14%,7%,8%,32%,54%, Israel,14%,1%,13%,24%,61%
Australia,13%,4%,9%,29%,57%, Lithuania,14%,4%,11%,32%,48%
Canada,13%,3%,10%,23%,63%, Brazil,14%,10%,4%,43%,43%
Bosnia and Herzegovina,13%,2%,11%,23%,63%, United Kingdom,14%,6%,8%,22%,63%
United Kingdom,13%,2%,11%,25%,62%, Mauritius,14%,6%,7%,31%,54%
Singapore,13%,4%,9%,34%,53%, Austria,13%,5%,8%,23%,63%
Belgium,13%,3%,10%,20%,66%, Malta,13%,4%,9%,29%,57%
Ireland,13%,8%,5%,29%,58%, Luxembourg,13%,4%,9%,28%,59%
New Zealand,12%,4%,8%,24%,64%, Malaysia,13%,1%,12%,30%,56%
Czech Republic,12%,3%,8%,29%,59%, Armenia,13%,4%,9%,32%,55%
Israel,12%,2%,10%,23%,65%, Belgium,13%,4%,9%,21%,66%
United States,12%,3%,9%,24%,65%, Spain,12%,4%,9%,27%,61%
Hong Kong (S.A.R. of China),12%,4%,7%,33%,55%, Poland,12%,4%,8%,22%,64%
Lithuania,11%,1%,10%,27%,55%, Ireland,12%,5%,7%,23%,65%
Spain,11%,2%,9%,24%,65%, Greece,12%,3%,9%,24%,64%
Estonia,11%,1%,10%,30%,59%, New Zealand,12%,2%,9%,25%,63%
Kazakhstan,10%,5%,5%,16%,73%, Iceland,11%,2%,9%,21%,68%
Armenia,10%,3%,7%,26%,64%, Switzerland,11%,2%,9%,18%,70%
Greece,10%,2%,8%,27%,62%, Czech Republic,11%,1%,10%,30%,59%
Poland,10%,3%,7%,15%,73%, Thailand,10%,3%,7%,28%,61%
Thailand,10%,3%,6%,29%,62%, Georgia,10%,3%,7%,25%,65%
Luxembourg,9%,2%,7%,30%,60%, Kazakhstan,10%,2%,8%,19%,70%
Indonesia,9%,2%,8%,20%,70%, Uzbekistan,9%,3%,7%,22%,69%
Malta,9%,3%,5%,30%,60%, Slovakia,9%,2%,8%,30%,60%
Georgia,9%,3%,6%,17%,74%, Estonia,9%,2%,7%,27%,64%
Norway,8%,2%,6%,23%,68%, Kyrgyzstan,9%,1%,8%,23%,67%
Slovakia,8%,2%,6%,22%,70%, Mongolia,9%,2%,7%,40%,51%
Finland,8%,2%,5%,29%,63%, Indonesia,9%,1%,7%,19%,72%
Netherlands,8%,1%,7%,18%,74%, Russia,8%,3%,5%,31%,59%
Russia,8%,2%,6%,26%,64%, Netherlands,8%,1%,7%,20%,72%
Sweden,8%,3%,5%,22%,70%, Denmark,8%,1%,7%,30%,62%
Slovenia,7%,0%,7%,23%,69%, Norway,8%,2%,6%,25%,67%
Mongolia,7%,1%,6%,36%,56%, Sweden,8%,1%,7%,24%,68%
Ukraine,7%,2%,5%,33%,59%, Australia,7%,1%,6%,31%,62%
Iceland,7%,1%,6%,21%,72%, Finland,7%,1%,6%,28%,64%
Denmark,7%,3%,4%,17%,76%, Latvia,7%,2%,5%,22%,70%
Latvia,6%,1%,5%,15%,78%, Hong Kong (S.A.R. of China),6%,2%,5%,33%,60%
Germany,6%,1%,5%,20%,73%, Ukraine,6%,2%,4%,31%,63%
Kyrgyzstan,6%,1%,5%,20%,73%, Germany,5%,3%,3%,20%,74%
Uzbekistan,5%,1%,4%,15%,78%, Vietnam,5%,1%,4%,9%,86%
Vietnam,4%,2%,2%,9%,86%, Slovenia,4%,0%,4%,20%,76%
